idsetor,pop,pop0a4
500370205000001,136,5
500370205000002,260,10
500370205000003,355,15
500370205000004,547,26
500370205000005,432,16
500370205000006,608,32
500370205000007,516,27
500370205000008,344,19
500370205000009,516,38
500370205000010,234,7
500370205000011,661,32
500370205000012,539,29
500370205000013,721,41
500370205000014,821,50
500370205000015,421,19
500370205000016,408,24
500370205000017,387,21
500370205000018,620,39
500370205000019,499,21
500370205000020,450,17
500370205000021,671,31
500370205000022,403,12
500370205000023,671,30
500370205000024,662,47
500370205000025,610,33
500370205000026,594,32
500370205000027,87,2
500370205000028,307,17
500370205000029,857,44
500370205000030,426,28
500370205000031,617,27
500370205000032,910,46
500370205000033,717,24
500370205000034,680,28
500370205000035,740,65
500370205000036,661,40
500370205000037,634,33
500370205000038,470,14
500370205000039,423,27
500370205000040,417,44
500370205000041,581,45
500370205000042,253,12
500370205000043,492,26
500370205000044,458,29
500370205000045,293,14
500370205000046,204,10
500370205000047,610,24
500370205000048,537,26
500370205000049,523,18
500370205000050,798,74
500370205000051,923,83
500370205000052,1097,85
500370205000053,922,69
500370205000054,732,44
500370205000055,913,71
500370205000056,480,30
500370205000057,556,21
500370205000058,259,22
500370205000059,577,38
500370205000060,612,43
500370205000061,746,58
500370205000062,820,50
500370205000063,816,54
500370205000064,769,37
500370205000065,862,52
500370205000066,919,81
500370205000067,873,73
500370205000068,555,44
500370205000069,657,57
500370205000070,1093,102
500370205000071,534,35
500370205000072,485,37
500370205000073,823,60
500370205000074,1015,95
500370205000075,1110,123
500370205000076,756,85
500370205000077,731,77
500370205000078,482,67
500370205000079,597,50
500370205000080,714,83
500370205000081,796,80
500370205000082,521,37
500370205000083,551,30
500370205000084,602,39
500370205000085,535,36
500370205000086,435,35
500370205000087,723,74
500370205000088,459,39
500370205000089,503,27
500370205000090,639,47
500370205000091,702,54
500370205000092,347,37
500370205000093,1013,90
500370205000094,1079,103
500370205000095,503,41
500370205000096,1017,80
500370205000097,723,63
500370205000098,853,77
500370205000099,884,92
500370205000100,665,55
500370205000101,436,46
500370205000102,948,68
500370205000103,775,63
500370205000104,1124,119
500370205000105,660,55
500370205000106,730,70
500370205000107,1006,102
500370205000108,632,66
500370205000109,701,54
500370205000110,747,78
500370205000111,912,75
500370205000112,780,69
500370205000113,648,70
500370205000114,786,48
500370205000115,742,54
500370205000116,575,41
500370205000117,590,28
500370205000118,506,37
500370205000119,657,37
500370205000120,805,35
500370205000121,340,26
500370205000122,662,45
500370205000123,843,82
500370205000124,647,51
500370205000125,475,33
500370205000126,556,46
500370205000127,474,34
500370205000128,852,69
500370205000129,410,32
500370205000130,677,63
500370205000131,846,104
500370205000132,957,99
500370205000133,849,89
500370205000134,494,50
500370205000135,850,72
500370205000136,436,37
500370205000137,735,44
500370205000138,777,65
500370205000139,436,37
500370205000140,581,41
500370205000141,502,65
500370205000142,413,31
500370205000143,716,73
500370205000144,480,35
500370205000145,1001,77
500370205000146,574,46
500370205000147,474,29
500370205000148,547,37
500370205000149,802,57
500370205000150,891,67
500370205000151,717,57
500370205000152,488,40
500370205000153,1064,131
500370205000154,860,77
500370205000155,863,67
500370205000156,946,61
500370205000157,963,77
500370205000158,1031,100
500370205000159,704,53
500370205000160,985,99
500370205000161,906,70
500370205000162,466,47
500370205000163,447,30
500370205000164,820,52
500370205000165,438,23
500370205000166,753,56
500370205000167,461,41
500370205000168,808,55
500370205000169,700,58
500370205000170,553,26
500370205000171,852,42
500370205000172,551,45
500370205000173,730,51
500370205000174,1215,110
500370205000175,807,74
500370205000176,701,72
500370205000177,897,77
500370205000178,765,68
500370205000179,818,79
500370205000180,997,54
500370205000189,152,7
500370205000190,338,11
500370205000191,200,10
500370205000192,334,12
500370205000193,559,28
500370205000194,519,32
500370205000195,620,18
500370205000196,422,17
500370205000197,314,18
500370205000198,200,13
500370205000199,442,26
500370205000200,353,21
500370205000201,547,39
500370205000202,660,50
500370205000203,476,36
500370205000204,521,23
500370205000205,489,29
500370205000206,789,56
500370205000207,587,38
500370205000208,436,17
500370205000209,548,35
500370205000210,691,60
500370205000211,452,28
500370205000212,539,34
500370205000213,546,54
500370205000214,506,40
500370205000215,669,45
500370205000216,404,20
500370205000217,352,23
500370205000218,133,7
500370205000219,399,26
500370205000220,699,31
500370205000221,441,28
500370205000222,636,32
500370205000223,666,54
500370205000224,422,14
500370205000225,510,28
500370205000226,326,21
500370205000227,433,32
500370205000228,473,28
500370205000229,349,24
500370205000230,540,43
500370205000231,621,50
500370205000232,689,60
500370205000233,612,65
500370205000234,707,84
500370205000235,634,69
500370205000236,621,64
500370205000237,851,68
500370205000238,453,39
500370205000239,566,38
500370205000240,705,66
500370205000241,643,43
500370205000242,411,33
500370205000243,511,31
500370205000244,449,37
500370205000245,374,28
500370205000246,629,55
500370205000247,536,60
500370205000248,712,42
500370205000249,629,50
500370205000250,479,39
500370205000251,538,43
500370205000252,632,67
500370205000253,772,68
500370205000254,116,3
500370205000255,807,59
500370205000256,617,67
500370205000257,487,53
500370205000258,375,38
500370205000259,514,24
500370205000260,581,24
500370205000261,446,30
500370205000262,603,45
500370205000263,599,39
500370205000264,630,34
500370205000265,511,42
500370205000266,555,36
500370205000267,552,50
500370205000268,562,42
500370205000269,686,62
500370205000270,428,31
500370205000271,683,67
500370205000272,480,41
500370205000273,545,38
500370205000274,491,37
500370205000275,563,48
500370205000276,501,39
500370205000277,452,37
500370205000278,447,36
500370205000279,331,17
500370205000280,553,31
500370205000281,577,37
500370205000282,693,42
500370205000283,372,19
500370205000284,963,122
500370205000285,671,57
500370205000286,602,44
500370205000287,927,95
500370205000288,417,29
500370205000289,437,29
500370205000290,491,36
500370205000291,518,33
500370205000292,377,28
